Date,Bank Rate
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,15
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.75
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.5
1976,14.25
1976,14.25
1976,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14.25
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,14
1977,13.25
1977,13.25
1977,13.25
1977,13.25
1977,13.25
1977,13.25
1977,13.25
1977,12.25
1977,12.25
1977,12.25
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,12
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,11
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,10.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.5
1977,9.25
1977,9.25
1977,9.25
1977,9.25
1977,9.25
1977,9.25
1977,9
1977,9
1977,9
1977,9
1977,9
1977,9
1977,9
1977,8.75
1977,8.75
1977,8.75
1977,8.75
1977,8.75
1977,8.75
1977,8.75
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8.25
1977,8
1977,8
1977,8
1977,8
1977,8
