"MYE4: Population estimates: Summary for the UK, mid-2001 to mid-2020",,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,Mid-2010,Mid-2009,Mid-2008,Mid-2007, Mid-2006,Mid-2005,Mid-2004,Mid-2003,Mid-2002,Mid-2001
E08000032,Bradford,Metropolitan District,542128,539776,537173,534800,532539,529879,527567,525936,524386,523115,518002,512392,507323,501357,495658,491361,484650,479166,475184,470753
E08000033,Calderdale,Metropolitan District,211439,211455,210082,209454,209069,207832,207042,206136,205200,204170,203049,202078,200960,199275,197761,196270,194980,193968,193201,192379
E08000034,Kirklees,Metropolitan District,441290,439787,438727,437145,435236,432855,429998,427831,425346,422970,418339,414785,411807,407974,404266,400724,397530,394486,392118,388980
E08000035,Leeds,Metropolitan District,798786,793139,789194,784846,781087,773213,765430,760894,757566,750683,747571,743885,741665,738560,736204,735054,723042,717592,716380,715609
E08000036,Wakefield,Metropolitan District,351592,348312,345038,340790,337094,334017,331720,329847,327890,326433,325595,324467,323288,321650,320318,318765,318037,317469,316306,315380
E12000004,EAST MIDLANDS,Region,4865583,4835928,4804149,4771666,4725390,4677425,4637369,4598548,4567798,4537448,4507071,4471653,4441125,4404774,4366676,4329112,4291476,4255080,4221753,4189622
E06000015,Derby,Unitary Authority,256814,257302,257174,257034,256203,253875,252313,251312,250582,248943,247035,243980,241865,239917,238110,236470,234501,232827,231979,230726
E06000016,Leicester,Unitary Authority,354036,354224,355218,353540,349513,344036,338491,334631,332067,329627,324912,319708,315473,311303,306548,301543,294127,288648,285295,282757
E06000061 ,North Northamptonshire ,Unitary Authority,350448,348228,345477,341841,336991,331763,327856,324009,321483,317959,314555,312196,309747,306155,301168,297012,293506,290977,287657,285093
E06000018,Nottingham,Unitary Authority,337098,332900,331069,329209,324779,318936,314385,310657,308463,303899,299753,294808,290783,288164,286459,284834,279624,275547,271769,268939
E06000017,Rutland,Unitary Authority,40476,39927,39697,39474,38949,38352,38263,37791,37096,37581,37670,37417,37478,37110,36510,36115,35623,35559,35295,34598
E06000062 ,West Northamptonshire ,Unitary Authority,406733,405050,402145,399368,395461,390404,385495,381646,378848,376008,373456,371268,368454,365907,362435,357438,353110,351689,349123,345893
E10000007,Derbyshire,County,807183,802694,796142,791966,786734,783082,780382,776639,773726,770688,767948,764317,761238,756594,752649,749009,745470,742242,738409,734888
E07000032,Amber Valley,Non-metropolitan District,128829,128147,126678,125898,124802,124188,124050,123592,122798,122521,122081,121532,121170,120436,120038,119152,118421,117898,117265,116560
E07000033,Bolsover,Non-metropolitan District,81305,80562,79530,79098,78225,77917,77231,76774,76480,76029,75691,75224,75058,74822,74347,73844,73601,73343,72527,71887
E07000034,Chesterfield,Non-metropolitan District,104930,104900,104628,104579,104527,104463,104331,104066,103788,103788,103417,103037,102609,102027,101674,101277,100545,99929,99256,98832
E07000035,Derbyshire Dales,Non-metropolitan District,72422,72325,71977,71849,71477,71301,71420,71372,71386,71104,71030,70705,70450,69850,69526,69509,69536,69368,69392,69418
E07000036,Erewash,Non-metropolitan District,115332,115371,115490,115314,115112,114684,114155,113246,112833,112249,111739,111283,110809,110184,109979,110102,110068,110080,110250,110126
E07000037,High Peak,Non-metropolitan District,92633,92666,92221,92063,91720,91523,91417,91172,91160,90982,91063,91047,90858,90553,90050,89627,89261,89185,89323,89400
E07000038,North East Derbyshire,Non-metropolitan District,102216,101462,101125,100780,100450,99661,99383,99306,99347,99100,98832,98474,98261,98067,97740,97666,97532,97127,96916,96927
E07000039,South Derbyshire,Non-metropolitan District,109516,107261,104493,102385,100421,99345,98395,97111,95934,94915,94095,93015,92023,90655,89295,87832,86506,85312,83480,81738
E10000018,Leicestershire,County,713085,706155,698268,690212,680466,673410,666682,660917,656182,651179,646292,642255,639236,634555,629556,624852,622134,617968,614065,610279
E07000129,Blaby,Non-metropolitan District,101950,101526,100421,98977,97562,96458,95836,95105,94608,94132,93935,93511,93341,92741,92266,91721,91664,91592,91225,90361
E07000130,Charnwood,Non-metropolitan District,188416,185851,182643,180387,177378,175167,172548,169993,168370,165876,164346,162330,160509,158667,157153,155768,154740,153664,153431,153554
E07000131,Harborough,Non-metropolitan District,95537,93807,92499,91461,90251,89144,87935,87426,86368,85699,84849,84132,83417,82593,81492,80486,79860,79118,78226,76818
E07000132,Hinckley and Bosworth,Non-metropolitan District,113666,113136,112423,111370,109881,108603,107560,106527,105956,105328,104734,104473,104179,103450,102996,102431,101953,101210,100482,100202
E07000133,Melton,Non-metropolitan District,51394,51209,51100,50873,50967,50956,51012,50868,50785,50495,50077,49481,49287,49153,48724,48605,48618,48429,48080,47875
E07000134,North West Leicestershire,Non-metropolitan District,104809,103611,102126,100109,98436,97098,95731,94716,93985,93670,93165,92728,92283,91476,90406,89623,88845,87794,86842,85678
E07000135,Oadby and Wigston,Non-metropolitan District,57313,57015,57056,57035,55991,55984,56060,56282,56110,55979,55186,55600,56220,56475,56519,56218,56454,56161,55779,55791
E10000019,Lincolnshire,County,766333,761224,755833,751171,744811,737350,731886,724523,719184,714768,711805,705599,700780,693739,685414,677324,672415,663197,655580,647640
